ciudad,fecha,ta_max,ta_min,tm_mes,(,tm_mes,ta_min,ta_max
Barcelona,2015-3,21.5(30),-3.5(16),6.8,,6.8,-3.5,21.5
Barcelona,2015-4,23.4(14),-1.8(08),10.0,,10.0,-1.8,23.4
Barcelona,2015-5,31.1(13),1.9(15),13.8,,13.8,1.9,31.1
Barcelona,2015-6,35.9(30),6.5(16),17.9,,17.9,6.5,35.9
Barcelona,2015-7,35.7(06),9.2(26),21.9,,21.9,9.2,35.7
Barcelona,2015-8,34.1(29),8.2(01),19.8,,19.8,8.2,34.1
Barcelona,2015-9,27.7(11),3.0(18),14.4,,14.4,3.0,27.7
Barcelona,2015-10,21.5(10),-1.8(16),11.5,,11.5,-1.8,21.5
Barcelona,2015-11,21.5(08),-3.9(30),8.0,,8.0,-3.9,21.5
Barcelona,2015-12,16.9(19),-7.0(01),6.3,,6.3,-7.0,16.9
Barcelona,2015-13,35.9(30/jun),-9.3(10/feb),11.2,,11.2,-9.3,35.9
Barcelona,2016-1,17.5(24),-4.0(17),5.3,,5.3,-4.0,17.5
Barcelona,2016-2,15.5(21),-8.2(17),4.5,,4.5,-8.2,15.5
Barcelona,2016-3,17.9(30),-5.0(14),5.0,,5.0,-5.0,17.9
Barcelona,2016-4,17.0(29),-4.5(02),7.4,,7.4,-4.5,17.0
Barcelona,2016-5,25.0(21),-1.1(02),11.8,,11.8,-1.1,25.0
Barcelona,2016-6,33.3(22),1.5(01),16.9,,16.9,1.5,33.3
Barcelona,2016-7,35.6(18),5.9(14),20.5,,20.5,5.9,35.6
Barcelona,2016-8,35.5(23),7.9(10),20.2,,20.2,7.9,35.5
Barcelona,2016-9,35.2(06),3.9(19),17.6,,17.6,3.9,35.2
Barcelona,2016-10,26.3(03),-0.7(31),12.9,,12.9,-0.7,26.3
Barcelona,2016-11,21.0(02),-2.8(07),6.0,,6.0,-2.8,21.0
Barcelona,2016-12,15.7(29),-8.2(31),5.2,,5.2,-8.2,15.7
Barcelona,2016-13,35.6(18/jul),-8.2(17/feb),11.1,,11.1,-8.2,35.6
Barcelona,2017-1,13.4(31),-9.8(01),2.7,,2.7,-9.8,13.4
Barcelona,2017-2,21.4(22),-4.2(25),6.1,,6.1,-4.2,21.4
Barcelona,2017-3,23.1(10),-2.0(24),7.7,,7.7,-2.0,23.1
Barcelona,2017-4,26.3(24),-4.4(28),9.5,,9.5,-4.4,26.3
Barcelona,2017-5,32.1(25),-0.8(01),14.9,,14.9,-0.8,32.1
Barcelona,2017-6,35.6(18),4.9(05),19.6,,19.6,4.9,35.6
Barcelona,2017-7,36.0(17),4.0(02),20.4,,20.4,4.0,36.0
Barcelona,2017-8,36.8(21),6.5(09),20.0,,20.0,6.5,36.8
Barcelona,2017-9,30.6(05),0.5(17),15.3,,15.3,0.5,30.6
Barcelona,2017-10,28.5(04),-0.3(08),13.8,,13.8,-0.3,28.5
Barcelona,2017-11,19.3(01),-4.8(27),6.5,,6.5,-4.8,19.3
Barcelona,2017-12,12.7(14),-7.2(06),3.6,,3.6,-7.2,12.7
Barcelona,2017-13,36.8(21/ago),-9.8(01/ene),11.7,,11.7,-9.8,36.8
Barcelona,2018-1,13.9(03),-5.3(08),3.9,,3.9,-5.3,13.9
Barcelona,2018-2,13.0(25),-8.2(27),2.1,,2.1,-8.2,13.0
Barcelona,2018-3,16.4(27),-2.4(19),5.6,,5.6,-2.4,16.4
Barcelona,2018-4,24.8(18),0.3(30),10.0,,10.0,0.3,24.8
Barcelona,2018-5,24.1(07),-2.7(13),11.8,,11.8,-2.7,24.1
Barcelona,2018-6,31.4(26),5.3(06),16.5,,16.5,5.3,31.4
Barcelona,2018-7,32.8(26),10.4(03),20.1,,20.1,10.4,32.8
Barcelona,2018-8,36.7(06),8.5(18),20.5,,20.5,8.5,36.7
Barcelona,2018-9,32.7(02),5.1(25),18.6,,18.6,5.1,32.7
Barcelona,2018-10,26.7(05),-0.3(29),11.5,,11.5,-0.3,26.7
Barcelona,2018-11,17.1(04),-1.0(04),7.4,,7.4,-1.0,17.1
Barcelona,2018-12,15.3(05),-3.9(27),5.7,,5.7,-3.9,15.3
Barcelona,2018-13,36.7(06/ago),-8.2(27/feb),11.1,,11.1,-8.2,36.7
Barcelona,2019-1,12.8(01),-5.9(16),3.0,,3.0,-5.9,12.8
Barcelona,2019-2,21.2(26),-9.5(04),5.7,,5.7,-9.5,21.2
Barcelona,2019-3,21.3(16),-4.6(22),7.4,,7.4,-4.6,21.3
Barcelona,2019-4,21.8(15),-5.2(04),8.7,,8.7,-5.2,21.8
Barcelona,2019-5,28.8(31),-0.9(06),11.4,,11.4,-0.9,28.8
Barcelona,2019-6,38.8(27),0.8(12),17.7,,17.7,0.8,38.8
Barcelona,2019-7,35.6(22),9.1(10),20.6,,20.6,9.1,35.6
Barcelona,2019-8,33.9(24),6.6(23),20.2,,20.2,6.6,33.9
Barcelona,2019-9,27.2(17),3.5(09),16.1,,16.1,3.5,27.2
Barcelona,2019-10,27.7(08),2.0(22),13.1,,13.1,2.0,27.7
Barcelona,2019-11,17.2(01),-2.0(19),6.7,,6.7,-2.0,17.2
Barcelona,2019-12,15.5(25),-4.4(28),6.1,,6.1,-4.4,15.5
Barcelona,2019-13,38.8(27/jun),-9.5(04/feb),11.4,,11.4,-9.5,38.8
Barcelona,2020-1,14.3(08),-5.6(07),4.2,,4.2,-5.6,14.3
Barcelona,2020-2,20.3(23),-4.2(19),7.7,,7.7,-4.2,20.3
Barcelona,2020-3,21.6(11),-4.0(27),7.3,,7.3,-4.0,21.6
Barcelona,2020-4,19.9(25),-3.1(04),11.2,,11.2,-3.1,19.9
Barcelona,2020-5,28.8(22),1.3(17),14.7,,14.7,1.3,28.8
Barcelona,2020-6,33.0(23),2.9(09),16.1,,16.1,2.9,33.0
Barcelona,2020-7,38.0(27),5.7(04),20.5,,20.5,5.7,38.0
Barcelona,2020-8,38.2(07),3.5(31),19.9,,19.9,3.5,38.2
Barcelona,2020-9,33.2(04),1.4(28),16.1,,16.1,1.4,33.2
Barcelona,2020-10,23.6(19),-0.4(17),10.4,,10.4,-0.4,23.6
Barcelona,2020-11,17.6(18),-3.6(22),8.5,,8.5,-3.6,17.6
Barcelona,2020-12,15.1(22),-3.4(26),4.6,,4.6,-3.4,15.1
Barcelona,2020-13,38.2(07/ago),-5.6(07/ene),11.8,,11.8,-5.6,38.2
